Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Medium_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-318.4463287411998,167.2896876168839,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-297.4483958278092,67.33275528003209,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-268.80677781451067,195.18738308140655,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Unpolarized_B_Green,C11,PI,-283.4700596210652,118.62225674877196,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Unpolarized_B_Red,C8,PI,-231.85742086283705,41.28098159739223,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-232.89372725999655,55.805692661579016,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Co-Polarized_Green,C13,PI,-372.223245999847,333.72400569088,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Co-Polarized_Red,C12,PI,-251.1372112932392,220.13684414426933,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Co-Polarized_IR,C15,PI,-95.01247281434036,367.7338350891287,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-246.35222000386472,80.99890408502498,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-208.15392760075775,40.08521938829454,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-188.1090293178124,30.40187535701478,Day_2,Medium,Fast,3.75mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-221.68121016213303,88.0531378362197,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-198.98337665055507,109.68558918658648,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_A_IR,C4,PI,-54.24126995053627,293.0594928620816,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-242.23471878645069,41.25787334643259,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-259.14164740570243,45.5654546389359,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-364.83121768354835,290.3768729921216,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Co-Polarized_Green,C13,PI,-259.04922457849455,142.6060975408065,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Co-Polarized_Red,C12,PI,-225.4366232727799,172.54375592066023,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Co-Polarized_IR,C15,PI,-108.62640416639064,393.0323524297218,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-205.5194951175081,47.956631072604985,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-214.13732264090677,69.45472766069257,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-156.16457926023813,76.91525485581035,Day_2,Medium,Slow,2.5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_A_Green,C5,PI,-251.6272661635828,107.7209717515851,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_A_Red,C2,PI,-220.1185985381696,97.8850251632748,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_A_IR,C4,PI,-293.14027610790345,190.6343348582942,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_B_Green,C11,PI,-242.20812875122704,38.82006565980036,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_B_Red,C8,PI,-218.80183756970345,53.21456169806098,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Unpolarized_B_IR,C10,PI,-236.545768627644,56.28655505374877,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Co-Polarized_Green,C13,PI,-225.66745562802572,476.5610565047774,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Co-Polarized_Red,C12,PI,-225.9234462541503,152.64596776497226,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Co-Polarized_IR,C15,PI,-412.2014912219864,661.8553005149303,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Cross-Polarized_Green,C19,PI,-191.6925193010855,63.61956602910401,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Cross-Polarized_Red,C18,PI,-244.14007747193875,132.2831678974038,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_5mm,Cross-Polarized_IR,C21,PI,-236.6500327547603,68.49412667097594,Day_2,Medium,Slow,5mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_A_Green,C5,PI,-290.1528764844373,185.28030723115177,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_A_Red,C2,PI,-200.6400365784828,58.44725365742214,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_A_IR,C4,PI,-269.4783427807472,145.0381252170904,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_B_Green,C11,PI,-212.80263999748323,35.29006787773939,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_B_Red,C8,PI,-209.80325726230137,21.414438213772648,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Unpolarized_B_IR,C10,PI,-253.0093535440651,32.069984569886536,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Co-Polarized_Green,C13,PI,4155.9144737014985,17065.707139585356,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Co-Polarized_Red,C12,PI,-199.05979364076424,85.77427284338326,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Co-Polarized_IR,C15,PI,-276.21876034894285,242.64245157284904,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Cross-Polarized_Green,C19,PI,-171.54383615208596,31.10016943743141,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Cross-Polarized_Red,C18,PI,-208.5212803162422,60.40817889529148,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Slow_3.75mm,Cross-Polarized_IR,C21,PI,-222.8521932733317,91.66491277875998,Day_2,Medium,Slow,3.75mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_A_Green,C5,PI,-246.5411086568296,97.6827344447636,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_A_Red,C2,PI,-229.16395676185377,78.98418198275611,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_A_IR,C4,PI,-238.89992920632653,107.8849484691753,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_B_Green,C11,PI,-221.15868057464596,33.18437181698004,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_B_Red,C8,PI,-241.82902035426545,28.493299731182972,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Unpolarized_B_IR,C10,PI,-241.603612337856,51.67748771236658,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Co-Polarized_Green,C13,PI,290.43930826986116,1662.0783296705872,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Co-Polarized_Red,C12,PI,-264.3536087173624,308.50765733833674,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Co-Polarized_IR,C15,PI,-230.44981390440776,58.698919162121264,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Cross-Polarized_Green,C19,PI,-235.35049884619855,42.71199547352273,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Cross-Polarized_Red,C18,PI,-210.3902272387385,97.269975141371,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Intermediate_5mm,Cross-Polarized_IR,C21,PI,-221.9406239599646,50.58615033509977,Day_2,Medium,Intermediate,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_A_Green,C5,PI,-260.221118290972,67.58680954118238,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_A_Red,C2,PI,-229.1509579240138,67.68780258289631,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_A_IR,C4,PI,-229.17416808263766,59.493138843672334,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_B_Green,C11,PI,-248.3871166084608,58.53368715111553,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_B_Red,C8,PI,-233.137364364711,6.917468044699163,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Unpolarized_B_IR,C10,PI,-222.88615053819026,46.56731264537672,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Co-Polarized_Green,C13,PI,-210.1205869872211,90.00046011990504,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Co-Polarized_Red,C12,PI,-193.17280420986813,45.2700161237521,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Co-Polarized_IR,C15,PI,-216.58865884088547,75.92177221396533,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Cross-Polarized_Green,C19,PI,-210.89156355677778,24.36169525576941,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Cross-Polarized_Red,C18,PI,-266.09570448357346,139.44534491184473,Day_2,Medium,Fast,5mm,Experiment_2,,
Medium_Fast_5mm,Cross-Polarized_IR,C21,PI,-210.157558350714,43.98384972164476,Day_2,Medium,Fast,5mm,Experiment_2,,
