Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_90_OgPol,Unpolarized_A_Green,C5,PI,-253.99272908225635,152.37006508333266,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Unpolarized_A_Red,C2,PI,-210.1623144155125,117.87215249676794,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Unpolarized_A_IR,C4,PI,-244.69736891406527,127.2240995222011,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Unpolarized_B_Green,C11,PI,-213.01738207604745,47.87264149582905,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Unpolarized_B_Red,C8,PI,-225.56032890385015,46.58827198105568,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Unpolarized_B_IR,C10,PI,-229.89097665681547,150.79550975745153,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Co-Polarized_Green,C13,PI,-197.80928753084535,71.13251084035801,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Co-Polarized_Red,C12,PI,-175.5206855845448,21.7822774364205,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Co-Polarized_IR,C15,PI,-185.78230211473846,30.54279315052189,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Cross-Polarized_Green,C19,PI,-343.19709293576443,929.1869232542945,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Cross-Polarized_Red,C18,PI,-179.61443216039726,16.183763396290203,Day_4,Experiment_3,IR,Dark,90,Og. Pol
IR_Dark_90_OgPol,Cross-Polarized_IR,C21,PI,-178.85848656098858,19.30417226991657,Day_4,Experiment_3,IR,Dark,90,Og. Pol
