Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-370.3884703428806,586.7827064058639,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-207.32869718795223,53.60436436780165,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-340.64119414537515,375.4016888655195,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Green,C11,PI,-206.53290352391187,40.72640361123931,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Red,C8,PI,-226.70006602656173,69.01854758159543,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-202.9786134293754,77.59806044007685,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Green,C13,PI,-236.56165869967933,107.93811763538294,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Red,C12,PI,-230.17664297079148,247.35960831053103,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_IR,C15,PI,-229.80390506184057,234.96103177995624,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-206.14350905888992,79.60659794596721,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-207.60366087789964,101.5766004564457,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-201.5992992891349,58.92173169713537,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,-196.87236906322147,51.060261830168294,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-265.8587999407236,163.5256561929674,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-240.33320419103995,77.64336885527287,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,-218.35012644493685,42.21243322055657,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,-204.3849614301218,43.59372751902091,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,-236.80996775359495,81.63082237448076,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,-348.9523950842024,692.3649462258114,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,-173.96962277153582,230.85136923166107,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_IR,C15,PI,-186.78612570148053,39.61709517460757,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_Green,C19,PI,-202.87203865577183,76.85738506763158,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_Red,C18,PI,-189.95659351880136,23.82954177276389,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_IR,C21,PI,-183.5948638587097,20.925331989579416,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_Red,C2,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_IR,C4,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_Green,C13,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_Red,C12,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_IR,C15,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_Green,C19,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_Red,C18,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_IR,C21,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_Green,C5,PI,-202.60001492614776,28.52921437138342,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_Red,C2,PI,-208.6233591338881,260.1151957291069,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_IR,C4,PI,-351.2994605585791,169.4919345405019,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_Green,C11,PI,-201.4967471256244,45.59274475492332,Day_2,Fair,Slow,3.75mm,Experiment_2,,
