Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_180_UnPol,Unpolarized_A_Green,C5,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_A_Red,C2,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_A_IR,C4,PI,5.488675630197924,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_Green,C11,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_Red,C8,PI,5.295257352679935,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_IR,C10,PI,5.118402792256963,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_Green,C13,PI,2.1878313616376572,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_Red,C12,PI,5.509842375776519,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_IR,C15,PI,6.162316530670074,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_Green,C19,PI,1.790783366760381,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_Red,C18,PI,6.142102768585673,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_IR,C21,PI,4.729994056807137,0.0,Day_4,Experiment_3,IR,Dark,180,Un. Pol
