time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:40:01.735Z,3293,5971,22894,4507,8215,25515,4228,5172,18131,6591,11075,30534,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.775Z,3304,5977,22915,4504,8214,25526,4215,5163,18033,6413,10814,30016,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.815Z,3329,5996,22980,4502,8198,25535,4178,5115,17811,6056,10235,28978,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.855Z,3361,6035,23107,4492,8175,25538,4107,5031,17478,5557,9394,27555,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.895Z,3385,6069,23226,4479,8154,25532,4032,4952,17183,5139,8691,26412,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.935Z,3389,6068,23256,4478,8139,25521,3980,4930,17103,5032,8550,26237,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.975Z,3373,6039,23201,4485,8137,25516,3930,4978,17250,5231,8953,26973,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.015Z,3350,6009,23123,4494,8144,25516,3786,5054,17488,5535,9549,28018,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.055Z,3332,5989,23053,4499,8155,25516,3491,5117,17696,5775,10067,28901,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.095Z,3319,5978,22999,4502,8165,25514,3257,5158,17829,5951,10417,29466,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.135Z,3308,5976,22974,4501,8171,25511,3305,5178,17892,6113,10574,29707,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.175Z,3302,5979,22980,4495,8174,25509,3531,5175,17892,6198,10549,29641,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.215Z,3305,5982,22998,4488,8176,25514,3807,5149,17841,6156,10392,29350,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.255Z,3311,5980,23009,4482,8175,25523,4119,5113,17798,6093,10239,29108,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.295Z,3310,5971,23001,4479,8173,25527,4480,5097,17831,6173,10285,29250,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.335Z,3302,5957,22967,4483,8177,25525,4893,5116,17935,6425,10567,29761,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.375Z,3293,5949,22920,4491,8185,25522,5419,5151,18038,6796,10887,30276,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.415Z,3287,5950,22890,4499,8190,25520,6091,5172,18104,7283,11070,30563,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.455Z,3285,5953,22887,4502,8193,25515,6377,5174,18149,7709,11125,30679,Fair,Slow,2.5mm,Experiment_1
