time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:35.796Z,3309,6030,23061,4465,8181,25465,4131,5042,17503,6092,10247,29136,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:35.836Z,3351,6068,23195,4452,8165,25481,4069,4964,17192,5603,9420,27665,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:35.876Z,3379,6093,23286,4442,8148,25484,4030,4903,16949,5236,8781,26571,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:35.916Z,3369,6087,23251,4442,8151,25470,4048,4909,16984,5308,8892,26827,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:35.956Z,3337,6067,23141,4452,8173,25454,4096,4957,17213,5679,9521,27961,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:35.996Z,3316,6056,23059,4461,8196,25447,4122,4993,17403,5955,10001,28808,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.036Z,3315,6058,23038,4467,8206,25450,4110,5001,17464,5991,10083,28984,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.076Z,3318,6065,23041,4469,8213,25456,4094,5004,17482,5964,10052,28970,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.116Z,3312,6061,23022,4470,8219,25458,4104,5025,17552,6071,10224,29269,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.156Z,3300,6045,22982,4470,8220,25453,4133,5053,17651,6267,10533,29769,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.196Z,3294,6029,22964,4467,8213,25449,4149,5062,17689,6356,10671,29966,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.236Z,3302,6035,23016,4461,8204,25456,4130,5034,17569,6179,10373,29398,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.276Z,3329,6074,23153,4447,8194,25474,4073,4971,17257,5708,9580,27949,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.316Z,3358,6119,23301,4432,8184,25494,4006,4903,16923,5204,8727,26426,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.356Z,3362,6125,23331,4431,8180,25496,3984,4885,16853,5090,8535,26144,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.397Z,3338,6088,23230,4443,8184,25477,4017,4930,17077,5413,9094,27214,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.437Z,3311,6049,23111,4455,8192,25455,4065,4986,17333,5808,9780,28446,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.477Z,3300,6029,23049,4463,8195,25446,4090,5016,17458,6032,10171,29088,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.517Z,3296,6017,23020,4469,8191,25448,4108,5030,17533,6191,10440,29482,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.557Z,3287,6005,22988,4474,8187,25452,4136,5049,17641,6374,10737,29950,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.597Z,3280,6002,22956,4477,8190,25447,4157,5075,17724,6476,10907,30246,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.637Z,3284,6010,22944,4479,8196,25440,4154,5092,17723,6446,10875,30199,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.677Z,3304,6023,22982,4478,8195,25442,4132,5075,17614,6259,10577,29672,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.717Z,3337,6052,23097,4467,8186,25461,4086,5010,17363,5844,9880,28445,Fair,Fast,2.5mm,Experiment_1
