time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Condition
2025-10-23T20:15:00.852Z,1493,0,1287,1266,174,1456,67519,62784,93979,21219,65027,117356,Day_3,Blackout Offset
2025-10-23T20:15:00.892Z,1016,0,1701,1062,135,1748,61528,62550,90211,19873,65041,115847,Day_3,Blackout Offset
2025-10-23T20:15:00.932Z,1098,0,2185,1183,151,2106,56887,62468,85775,18571,65250,114766,Day_3,Blackout Offset
2025-10-23T20:15:00.972Z,1764,0,2466,1621,158,2260,54613,62659,83512,17246,65656,115596,Day_3,Blackout Offset
2025-10-23T20:15:01.012Z,2123,0,2651,1703,111,2279,54845,62537,84622,16929,66358,117669,Day_3,Blackout Offset
2025-10-23T20:15:01.052Z,1687,11,3388,1266,56,2709,57285,61761,87197,19287,67202,119219,Day_3,Blackout Offset
2025-10-23T20:15:01.092Z,1123,82,4080,888,87,3202,61004,61204,88948,24205,68082,119738,Day_3,Blackout Offset
2025-10-23T20:15:01.132Z,876,340,3571,770,331,3022,64627,61435,89563,29387,68994,119678,Day_3,Blackout Offset
2025-10-23T20:15:01.172Z,807,798,2311,755,833,2518,67185,62062,90494,32902,69939,119809,Day_3,Blackout Offset
2025-10-23T20:15:01.212Z,1190,1061,1169,1208,1278,2184,69527,62534,92730,34754,70690,120337,Day_3,Blackout Offset
2025-10-23T20:15:01.252Z,2661,812,439,2843,1431,2412,72942,62049,95628,35614,70863,121071,Day_3,Blackout Offset
2025-10-23T20:15:01.292Z,6007,528,225,6419,2125,4263,76929,60035,98651,36600,71029,123140,Day_3,Blackout Offset
2025-10-23T20:15:01.332Z,12496,1566,951,12938,4987,8974,80636,58600,102084,39664,72959,128117,Day_3,Blackout Offset
2025-10-23T20:15:01.372Z,23438,7005,4197,22916,10924,16676,84270,62219,105566,45830,78302,136174,Day_3,Blackout Offset
2025-10-23T20:15:01.412Z,37812,20349,11291,34673,19292,25577,88327,71203,108372,54613,88004,147037,Day_3,Blackout Offset
2025-10-23T20:15:01.452Z,49734,38631,19056,44627,28345,32955,91674,79811,109766,66453,103454,160871,Day_3,Blackout Offset
2025-10-23T20:15:01.492Z,51749,52239,21593,50085,35465,37205,91495,82896,107720,83803,126065,177917,Day_3,Blackout Offset
2025-10-23T20:15:01.532Z,42975,55983,18014,50158,37491,38061,86655,79998,99639,108075,154998,197871,Day_3,Blackout Offset
2025-10-23T20:15:01.572Z,29621,49783,12133,45009,33412,35770,77181,72297,85765,136256,187521,218766,Day_3,Blackout Offset
2025-10-23T20:15:01.612Z,17360,34614,7085,36854,26153,31613,63704,60449,70770,161264,220550,238112,Day_3,Blackout Offset
2025-10-23T20:15:01.652Z,8559,17501,3997,29562,19459,27781,51064,48145,60433,176674,251013,255468,Day_3,Blackout Offset
2025-10-23T20:15:01.692Z,3796,6609,2646,24768,14566,25158,43644,39681,55431,184415,276471,271789,Day_3,Blackout Offset
2025-10-23T20:15:01.732Z,1917,2374,2176,20667,10999,22519,38655,33715,50741,193947,297710,287352,Day_3,Blackout Offset
2025-10-23T20:15:01.772Z,1165,1174,1928,15784,8416,18840,31883,27186,43150,209503,316737,301029,Day_3,Blackout Offset
2025-10-23T20:15:01.812Z,740,882,1718,10957,6494,14697,24416,20861,34536,223918,330579,309212,Day_3,Blackout Offset
2025-10-23T20:15:01.852Z,490,850,1557,7238,4843,10908,19353,16656,27490,225225,333963,306019,Day_3,Blackout Offset
2025-10-23T20:15:01.892Z,315,839,1424,4566,3345,7603,16933,14359,22559,208529,323226,288612,Day_3,Blackout Offset
2025-10-23T20:15:01.932Z,187,798,1288,2582,2113,4795,16068,13214,19785,179959,297904,260997,Day_3,Blackout Offset
2025-10-23T20:15:01.972Z,115,754,1166,1254,1322,2741,16577,13352,19940,147559,264412,229258,Day_3,Blackout Offset
2025-10-23T20:15:02.012Z,74,725,1090,583,957,1589,17887,14522,22680,114777,230030,196602,Day_3,Blackout Offset
2025-10-23T20:15:02.052Z,44,714,1057,355,841,1127,19290,16205,26534,82487,196705,163841,Day_3,Blackout Offset
2025-10-23T20:15:02.092Z,24,710,1046,307,823,1003,20769,18247,30254,52220,163848,131097,Day_3,Blackout Offset
2025-10-23T20:15:02.132Z,11,704,1051,302,831,988,21027,19205,31078,27390,131080,98560,Day_3,Blackout Offset
2025-10-23T20:15:02.172Z,4,696,1083,300,839,999,17947,16837,26545,11456,98431,67161,Day_3,Blackout Offset
2025-10-23T20:15:02.212Z,0,693,1143,297,844,1022,12225,11639,18540,4311,66586,39601,Day_3,Blackout Offset
2025-10-23T20:15:02.252Z,0,699,1202,299,853,1056,7095,6732,11204,2324,38054,19886,Day_3,Blackout Offset
2025-10-23T20:15:02.292Z,0,711,1231,307,862,1086,4238,3879,6672,2073,17217,9726,Day_3,Blackout Offset
2025-10-23T20:15:02.332Z,0,721,1235,314,871,1107,2981,2557,4519,2154,6427,6399,Day_3,Blackout Offset
2025-10-23T20:15:02.372Z,0,726,1240,313,879,1122,2519,2044,3613,2309,2966,5920,Day_3,Blackout Offset
2025-10-23T20:15:02.412Z,0,727,1255,303,885,1133,2556,2058,3233,2531,2457,6174,Day_3,Blackout Offset
2025-10-23T20:15:02.452Z,1,725,1257,291,882,1139,2770,2257,3060,2824,2629,6703,Day_3,Blackout Offset
2025-10-23T20:15:02.492Z,8,724,1213,284,873,1149,2908,2371,2971,3234,3109,7889,Day_3,Blackout Offset
2025-10-23T20:15:02.532Z,25,723,1123,292,876,1203,2959,2399,2936,4108,4772,11172,Day_3,Blackout Offset
2025-10-23T20:15:02.572Z,53,722,1026,345,939,1408,2980,2413,2957,6842,10381,19282,Day_3,Blackout Offset
2025-10-23T20:15:02.612Z,83,722,939,501,1202,1919,2994,2440,3050,14017,23828,34594,Day_3,Blackout Offset
2025-10-23T20:15:02.652Z,104,728,845,781,1803,2730,3004,2477,3195,25970,45824,56124,Day_3,Blackout Offset
2025-10-23T20:15:02.692Z,112,739,793,1062,2531,3505,3009,2509,3285,37028,71263,77881,Day_3,Blackout Offset
2025-10-23T20:15:02.732Z,112,750,836,1161,2878,3812,3012,2534,3276,41104,91248,90817,Day_3,Blackout Offset
2025-10-23T20:15:02.772Z,106,756,908,1052,2670,3595,3022,2577,3317,39661,96636,91467,Day_3,Blackout Offset
2025-10-23T20:15:02.812Z,98,758,956,884,2240,3187,3073,2662,3558,38433,87643,89159,Day_3,Blackout Offset
2025-10-23T20:15:02.852Z,93,756,1021,785,1957,2902,3222,2820,3959,43405,78824,96301,Day_3,Blackout Offset
2025-10-23T20:15:02.892Z,97,753,1122,796,1957,2842,3548,3152,4485,59564,82749,113911,Day_3,Blackout Offset
2025-10-23T20:15:02.932Z,109,757,1216,955,2272,3082,4207,3878,5408,85350,97273,134282,Day_3,Blackout Offset
2025-10-23T20:15:02.972Z,122,766,1327,1274,2878,3639,5427,5204,7200,111144,115742,152186,Day_3,Blackout Offset
2025-10-23T20:15:03.012Z,129,772,1517,1612,3507,4209,7391,7064,10013,124334,133759,166265,Day_3,Blackout Offset
2025-10-23T20:15:03.052Z,123,771,1636,1733,3716,4334,10044,9033,13255,117886,143550,172508,Day_3,Blackout Offset
2025-10-23T20:15:03.092Z,111,765,1514,1521,3282,3839,12646,10598,15817,95485,139047,164912,Day_3,Blackout Offset
2025-10-23T20:15:03.132Z,98,754,1302,1098,2424,2967,14057,11394,16934,66188,124061,143437,Day_3,Blackout Offset
2025-10-23T20:15:03.172Z,84,741,1159,705,1569,2128,13749,11072,16323,38026,104032,114072,Day_3,Blackout Offset
2025-10-23T20:15:03.212Z,69,733,1026,466,964,1545,11929,9604,14004,17196,79328,82545,Day_3,Blackout Offset
2025-10-23T20:15:03.252Z,60,732,858,356,670,1212,9249,7676,10809,6341,51837,52812,Day_3,Blackout Offset
2025-10-23T20:15:03.292Z,60,734,739,314,647,1050,6578,5917,7946,2730,27547,28939,Day_3,Blackout Offset
2025-10-23T20:15:03.332Z,67,739,709,303,733,986,4695,4505,5996,1990,11456,13946,Day_3,Blackout Offset
2025-10-23T20:15:03.372Z,75,747,679,305,793,966,3733,3530,4804,1858,3912,7013,Day_3,Blackout Offset
2025-10-23T20:15:03.412Z,82,755,659,311,815,957,3303,2974,4051,1808,1668,4611,Day_3,Blackout Offset
2025-10-23T20:15:03.452Z,86,760,739,316,822,954,3104,2677,3576,1782,1365,3846,Day_3,Blackout Offset
2025-10-23T20:15:03.492Z,90,760,861,317,823,958,3029,2530,3302,1769,1394,3512,Day_3,Blackout Offset
2025-10-23T20:15:03.532Z,96,757,933,317,819,968,3025,2507,3218,1766,1411,3370,Day_3,Blackout Offset
2025-10-23T20:15:03.572Z,100,754,958,318,813,977,3060,2569,3356,1778,1430,3518,Day_3,Blackout Offset
2025-10-23T20:15:03.612Z,98,754,960,314,811,981,3138,2682,3767,1823,1487,4114,Day_3,Blackout Offset
2025-10-23T20:15:03.652Z,87,758,965,302,810,990,3323,2893,4489,1947,1629,5170,Day_3,Blackout Offset
2025-10-23T20:15:03.693Z,75,758,1001,289,809,1017,3738,3310,5466,2195,1900,6469,Day_3,Blackout Offset
2025-10-23T20:15:03.733Z,65,748,1060,281,805,1061,4409,3931,6538,2522,2266,7729,Day_3,Blackout Offset
2025-10-23T20:15:03.773Z,54,731,1092,282,801,1101,5107,4536,7449,2808,2626,8813,Day_3,Blackout Offset
2025-10-23T20:15:03.813Z,42,715,1063,289,802,1121,5594,4928,7967,3011,2947,9811,Day_3,Blackout Offset
2025-10-23T20:15:03.853Z,31,703,1012,298,806,1123,5955,5204,8251,3175,3286,10893,Day_3,Blackout Offset
2025-10-23T20:15:03.893Z,22,696,985,308,812,1128,6697,5806,9011,3339,3733,12183,Day_3,Blackout Offset
2025-10-23T20:15:03.933Z,15,694,985,313,827,1155,9230,7972,11638,3529,4321,13663,Day_3,Blackout Offset
2025-10-23T20:15:03.973Z,12,696,1007,314,851,1209,16179,14212,17795,3726,4872,14813,Day_3,Blackout Offset
2025-10-23T20:15:04.013Z,23,705,1055,313,873,1269,28617,25864,26608,3761,5065,14580,Day_3,Blackout Offset
2025-10-23T20:15:04.053Z,49,719,1115,313,887,1302,41027,37906,32433,3456,4785,12589,Day_3,Blackout Offset
2025-10-23T20:15:04.093Z,81,733,1162,318,896,1301,44027,41117,30810,2935,4159,10110,Day_3,Blackout Offset
2025-10-23T20:15:04.133Z,106,747,1175,330,906,1290,36074,33475,25344,2518,3440,8691,Day_3,Blackout Offset
2025-10-23T20:15:04.173Z,116,759,1158,339,917,1291,25517,22678,22108,2411,2957,8478,Day_3,Blackout Offset
2025-10-23T20:15:04.213Z,115,765,1136,340,922,1298,19330,15687,22316,2582,2799,8699,Day_3,Blackout Offset
2025-10-23T20:15:04.253Z,111,767,1133,337,922,1304,17689,13069,24289,2808,2800,8850,Day_3,Blackout Offset
2025-10-23T20:15:04.293Z,106,766,1142,334,918,1307,18796,13372,26862,2932,2823,8876,Day_3,Blackout Offset
2025-10-23T20:15:04.333Z,102,762,1151,330,911,1306,21200,15440,29040,2970,2826,8835,Day_3,Blackout Offset
2025-10-23T20:15:04.373Z,101,757,1158,329,902,1305,23026,17373,30139,2972,2805,8761,Day_3,Blackout Offset
2025-10-23T20:15:04.413Z,99,752,1163,329,894,1304,24187,18606,31601,2974,2784,8701,Day_3,Blackout Offset
2025-10-23T20:15:04.453Z,93,749,1164,330,891,1302,26121,20174,35149,2993,2793,8693,Day_3,Blackout Offset
2025-10-23T20:15:04.493Z,87,750,1167,333,892,1300,29272,22515,39806,3020,2831,8740,Day_3,Blackout Offset
2025-10-23T20:15:04.533Z,81,751,1177,336,897,1304,33133,25304,43791,3049,2874,8810,Day_3,Blackout Offset
2025-10-23T20:15:04.573Z,71,746,1185,334,900,1308,36555,27736,46609,3080,2911,8864,Day_3,Blackout Offset
2025-10-23T20:15:04.613Z,58,734,1184,328,898,1307,38582,29165,48215,3105,2943,8921,Day_3,Blackout Offset
2025-10-23T20:15:04.653Z,43,719,1172,324,896,1303,39430,29765,48814,3117,2967,9033,Day_3,Blackout Offset
2025-10-23T20:15:04.693Z,28,708,1155,324,899,1300,39731,29974,49116,3121,2983,9196,Day_3,Blackout Offset
2025-10-23T20:15:04.733Z,14,705,1143,323,905,1304,39635,29905,49402,3121,2994,9355,Day_3,Blackout Offset
2025-10-23T20:15:04.773Z,5,703,1137,319,909,1310,39091,29527,49141,3121,3006,9498,Day_3,Blackout Offset
2025-10-23T20:15:04.813Z,3,699,1132,315,906,1311,37798,28599,47307,3120,3026,9646,Day_3,Blackout Offset
2025-10-23T20:15:04.853Z,9,694,1124,310,898,1306,34201,25956,42078,3115,3044,9608,Day_3,Blackout Offset
2025-10-23T20:15:04.893Z,27,696,1109,304,893,1295,26346,20134,32367,3070,3002,9106,Day_3,Blackout Offset
2025-10-23T20:15:04.933Z,53,709,1086,301,890,1280,15954,12374,20604,2948,2836,8307,Day_3,Blackout Offset
2025-10-23T20:15:04.973Z,76,726,1064,306,891,1273,7991,6364,11133,2787,2595,7708,Day_3,Blackout Offset
2025-10-23T20:15:05.013Z,90,738,1051,317,893,1282,4380,3585,5946,2667,2416,7475,Day_3,Blackout Offset
2025-10-23T20:15:05.053Z,99,744,1043,327,892,1285,3282,2702,3903,2590,2325,7335,Day_3,Blackout Offset
2025-10-23T20:15:05.093Z,109,745,1034,336,884,1261,2977,2436,3206,2514,2252,7033,Day_3,Blackout Offset
2025-10-23T20:15:05.135Z,120,744,1027,343,866,1210,2921,2384,2910,2426,2154,6601,Day_3,Blackout Offset
2025-10-23T20:15:05.175Z,128,746,1025,346,850,1153,2953,2415,2699,2331,2037,6188,Day_3,Blackout Offset
2025-10-23T20:15:05.215Z,135,754,1025,346,845,1115,2985,2446,2576,2244,1938,5888,Day_3,Blackout Offset
2025-10-23T20:15:05.255Z,138,762,1026,347,845,1106,3001,2460,2611,2183,1889,5745,Day_3,Blackout Offset
2025-10-23T20:15:05.295Z,136,766,1027,346,848,1114,3008,2467,2701,2155,1889,5745,Day_3,Blackout Offset
2025-10-23T20:15:05.335Z,132,770,1029,346,853,1123,3009,2475,2755,2154,1906,5795,Day_3,Blackout Offset
2025-10-23T20:15:05.375Z,129,773,1030,345,855,1127,3006,2480,2811,2166,1911,5809,Day_3,Blackout Offset
2025-10-23T20:15:05.415Z,129,771,1029,345,853,1127,3007,2477,2883,2172,1896,5774,Day_3,Blackout Offset
2025-10-23T20:15:05.455Z,130,768,1028,346,851,1127,3010,2469,2942,2168,1875,5733,Day_3,Blackout Offset
2025-10-23T20:15:05.493Z,131,770,1026,346,852,1124,3012,2465,2988,2166,1859,5696,Day_3,Blackout Offset
2025-10-23T20:15:05.533Z,131,775,1024,343,853,1110,3012,2473,3050,2155,1835,5616,Day_3,Blackout Offset
2025-10-23T20:15:05.573Z,128,778,1022,336,849,1087,3007,2483,3089,2119,1799,5494,Day_3,Blackout Offset
2025-10-23T20:15:05.613Z,124,776,1019,330,844,1062,3000,2481,3052,2082,1777,5420,Day_3,Blackout Offset
2025-10-23T20:15:05.653Z,124,775,1014,330,843,1041,3001,2469,2992,2079,1777,5419,Day_3,Blackout Offset
2025-10-23T20:15:05.693Z,129,779,1010,336,846,1025,3006,2456,2954,2091,1770,5391,Day_3,Blackout Offset
2025-10-23T20:15:05.733Z,129,785,1012,338,848,1013,3005,2451,2918,2079,1730,5249,Day_3,Blackout Offset
2025-10-23T20:15:05.773Z,127,787,1019,337,846,1002,2997,2458,2875,2028,1669,5011,Day_3,Blackout Offset
2025-10-23T20:15:05.813Z,129,782,1021,338,837,991,2993,2466,2833,1949,1609,4757,Day_3,Blackout Offset
2025-10-23T20:15:05.853Z,134,774,1015,341,828,982,2992,2468,2793,1877,1563,4546,Day_3,Blackout Offset
2025-10-23T20:15:05.893Z,136,768,1007,342,822,975,2992,2466,2749,1834,1534,4386,Day_3,Blackout Offset
2025-10-23T20:15:05.933Z,132,767,1001,338,820,970,2988,2468,2714,1812,1519,4255,Day_3,Blackout Offset
2025-10-23T20:15:05.973Z,129,763,1000,333,816,969,2983,2474,2708,1796,1510,4145,Day_3,Blackout Offset
2025-10-23T20:15:06.013Z,131,760,1004,333,811,972,2983,2480,2719,1788,1500,4066,Day_3,Blackout Offset
2025-10-23T20:15:06.053Z,135,764,1006,337,813,972,2992,2480,2729,1788,1487,4020,Day_3,Blackout Offset
2025-10-23T20:15:06.093Z,137,771,1005,340,820,971,3004,2475,2738,1791,1471,3987,Day_3,Blackout Offset
2025-10-23T20:15:06.133Z,141,778,1004,345,829,971,3010,2466,2745,1788,1455,3947,Day_3,Blackout Offset
2025-10-23T20:15:06.173Z,146,782,1004,352,837,972,3012,2457,2748,1783,1441,3896,Day_3,Blackout Offset
2025-10-23T20:15:06.213Z,146,776,1007,354,838,975,3016,2452,2750,1778,1431,3844,Day_3,Blackout Offset
2025-10-23T20:15:06.253Z,139,762,1009,348,831,977,3018,2456,2749,1775,1428,3798,Day_3,Blackout Offset
2025-10-23T20:15:06.293Z,133,751,1007,341,822,975,3016,2467,2744,1772,1431,3759,Day_3,Blackout Offset
2025-10-23T20:15:06.333Z,134,749,1004,340,816,972,3014,2477,2739,1774,1436,3735,Day_3,Blackout Offset
2025-10-23T20:15:06.373Z,137,755,1002,342,817,969,3018,2481,2736,1782,1438,3726,Day_3,Blackout Offset
2025-10-23T20:15:06.413Z,143,765,1004,348,823,970,3026,2473,2731,1792,1436,3725,Day_3,Blackout Offset
2025-10-23T20:15:06.453Z,152,775,1008,354,829,973,3029,2459,2728,1795,1430,3729,Day_3,Blackout Offset
2025-10-23T20:15:06.493Z,156,779,1009,357,831,975,3024,2452,2728,1789,1428,3742,Day_3,Blackout Offset
2025-10-23T20:15:06.533Z,156,777,1008,355,831,974,3015,2456,2729,1782,1435,3762,Day_3,Blackout Offset
2025-10-23T20:15:06.573Z,155,773,1007,354,835,972,3008,2462,2727,1778,1446,3791,Day_3,Blackout Offset
2025-10-23T20:15:06.613Z,153,771,1009,351,841,972,3002,2463,2724,1777,1454,3827,Day_3,Blackout Offset
2025-10-23T20:15:06.653Z,147,771,1011,346,844,972,3001,2461,2725,1781,1460,3871,Day_3,Blackout Offset
2025-10-23T20:15:06.693Z,138,775,1012,338,837,973,3009,2465,2734,1794,1470,3918,Day_3,Blackout Offset
2025-10-23T20:15:06.733Z,132,782,1013,334,828,975,3025,2472,2746,1810,1479,3952,Day_3,Blackout Offset
2025-10-23T20:15:06.773Z,129,788,1012,332,824,975,3036,2473,2747,1821,1483,3964,Day_3,Blackout Offset
2025-10-23T20:15:06.813Z,125,785,1013,328,824,976,3039,2470,2738,1823,1482,3961,Day_3,Blackout Offset
2025-10-23T20:15:06.853Z,124,772,1017,327,820,981,3037,2467,2726,1822,1480,3951,Day_3,Blackout Offset
2025-10-23T20:15:06.893Z,128,759,1023,332,811,988,3035,2461,2722,1819,1475,3945,Day_3,Blackout Offset
2025-10-23T20:15:06.933Z,133,756,1027,335,802,991,3038,2454,2726,1819,1467,3943,Day_3,Blackout Offset
2025-10-23T20:15:06.973Z,138,762,1026,336,796,988,3045,2457,2733,1823,1467,3941,Day_3,Blackout Offset
2025-10-23T20:15:07.013Z,144,770,1024,341,797,983,3048,2471,2738,1824,1476,3936,Day_3,Blackout Offset
2025-10-23T20:15:07.053Z,152,778,1023,349,809,980,3042,2485,2736,1819,1486,3931,Day_3,Blackout Offset
2025-10-23T20:15:07.093Z,156,780,1024,355,820,979,3032,2490,2731,1813,1491,3927,Day_3,Blackout Offset
2025-10-23T20:15:07.133Z,156,774,1024,356,821,980,3027,2487,2727,1808,1488,3924,Day_3,Blackout Offset
2025-10-23T20:15:07.173Z,147,771,1026,348,819,980,3023,2474,2729,1804,1477,3921,Day_3,Blackout Offset
2025-10-23T20:15:07.213Z,134,777,1029,335,823,982,3015,2462,2734,1797,1468,3918,Day_3,Blackout Offset
2025-10-23T20:15:07.253Z,122,788,1031,322,831,986,3009,2457,2737,1788,1464,3915,Day_3,Blackout Offset
2025-10-23T20:15:07.293Z,115,794,1028,313,836,988,3011,2460,2737,1786,1461,3912,Day_3,Blackout Offset
2025-10-23T20:15:07.333Z,115,795,1021,312,833,984,3021,2464,2736,1794,1461,3904,Day_3,Blackout Offset
2025-10-23T20:15:07.373Z,118,794,1016,317,830,981,3030,2469,2731,1805,1463,3892,Day_3,Blackout Offset
2025-10-23T20:15:07.413Z,121,792,1019,323,831,985,3028,2472,2728,1806,1463,3882,Day_3,Blackout Offset
2025-10-23T20:15:07.453Z,127,792,1023,327,836,991,3017,2475,2730,1798,1461,3877,Day_3,Blackout Offset
2025-10-23T20:15:07.493Z,136,790,1021,334,841,990,3011,2481,2731,1791,1463,3874,Day_3,Blackout Offset
2025-10-23T20:15:07.533Z,144,786,1016,341,840,985,3016,2488,2729,1791,1469,3870,Day_3,Blackout Offset
2025-10-23T20:15:07.573Z,145,778,1017,345,836,985,3024,2485,2730,1793,1472,3868,Day_3,Blackout Offset
2025-10-23T20:15:07.613Z,140,770,1022,344,829,990,3027,2471,2733,1796,1466,3869,Day_3,Blackout Offset
2025-10-23T20:15:07.653Z,137,766,1027,341,823,993,3030,2456,2733,1801,1456,3870,Day_3,Blackout Offset
2025-10-23T20:15:07.693Z,134,767,1025,338,822,989,3036,2452,2729,1807,1451,3869,Day_3,Blackout Offset
2025-10-23T20:15:07.733Z,128,772,1017,332,825,981,3041,2461,2725,1808,1455,3868,Day_3,Blackout Offset
2025-10-23T20:15:07.773Z,121,779,1011,325,832,976,3038,2471,2724,1804,1460,3868,Day_3,Blackout Offset
2025-10-23T20:15:07.813Z,118,784,1011,319,836,978,3030,2479,2728,1799,1466,3872,Day_3,Blackout Offset
2025-10-23T20:15:07.853Z,120,786,1015,317,837,981,3023,2489,2732,1800,1473,3875,Day_3,Blackout Offset
2025-10-23T20:15:07.893Z,126,788,1015,321,835,981,3021,2496,2729,1803,1479,3870,Day_3,Blackout Offset
2025-10-23T20:15:07.933Z,136,785,1014,333,830,980,3017,2499,2726,1802,1482,3861,Day_3,Blackout Offset
2025-10-23T20:15:07.973Z,147,774,1015,345,823,980,3011,2501,2728,1799,1482,3855,Day_3,Blackout Offset
2025-10-23T20:15:08.013Z,150,762,1019,350,813,983,3005,2505,2732,1796,1485,3852,Day_3,Blackout Offset
2025-10-23T20:15:08.053Z,147,752,1022,346,805,987,2998,2507,2739,1791,1487,3851,Day_3,Blackout Offset
2025-10-23T20:15:08.093Z,143,750,1023,342,803,989,2997,2502,2746,1788,1484,3851,Day_3,Blackout Offset
2025-10-23T20:15:08.133Z,138,757,1021,338,809,990,3004,2495,2748,1786,1477,3849,Day_3,Blackout Offset
2025-10-23T20:15:08.173Z,135,767,1017,335,819,987,3006,2491,2742,1783,1471,3842,Day_3,Blackout Offset
2025-10-23T20:15:08.213Z,136,774,1013,337,826,982,3001,2492,2731,1779,1471,3833,Day_3,Blackout Offset
2025-10-23T20:15:08.253Z,140,775,1014,341,827,981,3003,2495,2730,1780,1472,3828,Day_3,Blackout Offset
2025-10-23T20:15:08.293Z,145,774,1018,345,825,985,3017,2491,2741,1785,1468,3833,Day_3,Blackout Offset
2025-10-23T20:15:08.333Z,148,773,1020,345,824,987,3031,2480,2755,1790,1460,3842,Day_3,Blackout Offset
2025-10-23T20:15:08.374Z,146,775,1018,342,825,985,3038,2470,2762,1795,1454,3843,Day_3,Blackout Offset
2025-10-23T20:15:08.414Z,146,779,1014,341,827,978,3042,2464,2759,1797,1451,3835,Day_3,Blackout Offset
2025-10-23T20:15:08.454Z,147,780,1012,344,829,973,3054,2466,2754,1795,1452,3824,Day_3,Blackout Offset
2025-10-23T20:15:08.494Z,145,779,1015,343,827,975,3094,2473,2752,1793,1456,3817,Day_3,Blackout Offset
2025-10-23T20:15:08.534Z,140,776,1022,339,825,981,3169,2479,2747,1792,1459,3812,Day_3,Blackout Offset
2025-10-23T20:15:08.574Z,137,774,1026,335,823,984,3228,2481,2739,1792,1461,3805,Day_3,Blackout Offset
2025-10-23T20:15:08.614Z,137,774,1024,334,821,982,3218,2482,2733,1794,1461,3794,Day_3,Blackout Offset
2025-10-23T20:15:08.654Z,136,773,1018,333,818,977,3159,2483,2733,1798,1460,3786,Day_3,Blackout Offset
2025-10-23T20:15:08.694Z,132,770,1013,330,816,974,3086,2483,2738,1799,1459,3784,Day_3,Blackout Offset
2025-10-23T20:15:08.734Z,128,767,1013,327,814,973,3004,2481,2745,1795,1459,3786,Day_3,Blackout Offset
2025-10-23T20:15:08.774Z,127,763,1017,326,813,976,2907,2483,2753,1785,1461,3788,Day_3,Blackout Offset
2025-10-23T20:15:08.814Z,129,759,1024,327,811,983,2825,2489,2758,1778,1465,3786,Day_3,Blackout Offset
2025-10-23T20:15:08.854Z,136,755,1029,332,809,987,2816,2494,2755,1777,1464,3779,Day_3,Blackout Offset
2025-10-23T20:15:08.894Z,143,754,1030,339,807,989,2871,2493,2746,1776,1458,3771,Day_3,Blackout Offset
2025-10-23T20:15:08.934Z,142,757,1029,341,810,989,2928,2491,2737,1769,1454,3762,Day_3,Blackout Offset
2025-10-23T20:15:08.974Z,135,764,1027,336,818,986,2966,2492,2734,1761,1457,3755,Day_3,Blackout Offset
2025-10-23T20:15:09.014Z,130,773,1025,335,827,983,2994,2493,2733,1764,1461,3747,Day_3,Blackout Offset
2025-10-23T20:15:09.054Z,132,779,1025,340,833,983,3018,2486,2731,1773,1460,3735,Day_3,Blackout Offset
2025-10-23T20:15:09.094Z,137,780,1026,343,835,984,3037,2476,2730,1780,1455,3726,Day_3,Blackout Offset
2025-10-23T20:15:09.134Z,140,776,1023,343,831,983,3048,2475,2731,1777,1454,3721,Day_3,Blackout Offset
2025-10-23T20:15:09.174Z,140,772,1019,341,827,981,3049,2480,2730,1773,1459,3718,Day_3,Blackout Offset
2025-10-23T20:15:09.214Z,140,776,1018,342,829,980,3042,2484,2726,1773,1462,3714,Day_3,Blackout Offset
2025-10-23T20:15:09.254Z,140,786,1020,343,838,982,3038,2485,2726,1776,1462,3712,Day_3,Blackout Offset
2025-10-23T20:15:09.294Z,138,791,1019,340,842,982,3038,2487,2732,1778,1460,3713,Day_3,Blackout Offset
2025-10-23T20:15:09.334Z,135,786,1014,336,835,980,3040,2490,2739,1778,1458,3715,Day_3,Blackout Offset
2025-10-23T20:15:09.374Z,132,780,1013,335,825,979,3042,2491,2745,1780,1455,3715,Day_3,Blackout Offset
2025-10-23T20:15:09.414Z,131,777,1015,336,821,980,3045,2490,2743,1783,1452,3710,Day_3,Blackout Offset
2025-10-23T20:15:09.454Z,129,778,1019,334,824,985,3047,2486,2738,1784,1449,3702,Day_3,Blackout Offset
2025-10-23T20:15:09.494Z,125,781,1024,329,831,990,3042,2481,2735,1779,1442,3697,Day_3,Blackout Offset
2025-10-23T20:15:09.534Z,122,782,1027,325,836,992,3033,2477,2736,1774,1433,3696,Day_3,Blackout Offset
2025-10-23T20:15:09.574Z,125,782,1029,328,837,990,3026,2474,2737,1772,1427,3696,Day_3,Blackout Offset
2025-10-23T20:15:09.614Z,132,780,1027,333,833,985,3026,2473,2732,1772,1426,3692,Day_3,Blackout Offset
2025-10-23T20:15:09.654Z,138,776,1023,336,826,980,3033,2470,2727,1775,1427,3684,Day_3,Blackout Offset
2025-10-23T20:15:09.694Z,139,770,1020,337,818,979,3043,2466,2729,1782,1425,3677,Day_3,Blackout Offset
2025-10-23T20:15:09.734Z,141,767,1022,339,816,982,3050,2463,2734,1788,1421,3670,Day_3,Blackout Offset
