time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:02.757Z,3291,5973,22919,4490,8191,25466,4161,5120,17902,6501,10976,30431,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.797Z,3310,5999,23001,4484,8191,25473,4124,5086,17724,6220,10496,29578,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.837Z,3338,6047,23158,4467,8180,25494,4062,5008,17380,5709,9619,27995,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.877Z,3365,6099,23313,4448,8166,25513,4003,4917,17023,5202,8745,26412,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.917Z,3371,6122,23357,4442,8163,25517,4001,4888,16911,5071,8508,25982,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.957Z,3356,6097,23274,4454,8168,25512,4059,4942,17104,5383,9027,26919,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:02.997Z,3338,6055,23148,4472,8179,25507,4128,5018,17405,5842,9792,28308,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.037Z,3329,6030,23065,4484,8195,25502,4164,5057,17611,6134,10276,29207,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.077Z,3324,6026,23045,4489,8204,25503,4161,5059,17672,6174,10354,29385,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.117Z,3317,6025,23050,4488,8202,25509,4151,5054,17659,6107,10260,29253,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.157Z,3305,6018,23031,4485,8200,25505,4165,5068,17680,6135,10309,29360,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.197Z,3293,6006,22985,4486,8202,25487,4196,5101,17772,6307,10588,29821,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.237Z,3284,5992,22939,4488,8202,25469,4222,5133,17878,6502,10911,30320,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.277Z,3281,5976,22911,4489,8196,25461,4228,5143,17933,6611,11097,30595,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.317Z,3283,5970,22909,4486,8193,25463,4215,5134,17920,6607,11098,30576,Fair,Medium,2.5mm,Experiment_2
