Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_0_UnPol,Unpolarized_A_Green,C5,PI,-166.28983496957534,317.0923572499017,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Unpolarized_A_Red,C2,PI,-204.97572686292736,84.32620213874348,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Unpolarized_A_IR,C4,PI,-182.97321565981036,75.18652907948048,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Unpolarized_B_Green,C11,PI,-233.3164770881137,39.41821547934256,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Unpolarized_B_Red,C8,PI,-208.11438558797306,45.70252118264772,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Unpolarized_B_IR,C10,PI,-204.2782583981513,50.93497011503799,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Co-Polarized_Green,C13,PI,-145.11288721994828,207.99385050836878,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Co-Polarized_Red,C12,PI,-155.98653826344872,191.53568742857212,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Co-Polarized_IR,C15,PI,-198.64045178431314,129.30959706953504,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Cross-Polarized_Green,C19,PI,-194.74931284905907,80.26714675150336,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Cross-Polarized_Red,C18,PI,-742.4118919606318,2176.6748013838437,Day_4,Experiment_3,IR,Dark,0,Un. Pol
IR_Dark_0_UnPol,Cross-Polarized_IR,C21,PI,-161.68343975493994,22.847542396089004,Day_4,Experiment_3,IR,Dark,0,Un. Pol
