ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:18.853000+00:00,0,0,0,-3627,1242,-1543,0.0
2026-03-13 16:59:18.891000+00:00,0,0,0,-3636,1245,-1561,0.038
2026-03-13 16:59:18.930000+00:00,0,0,0,-3633,1237,-1562,0.077
2026-03-13 16:59:18.969000+00:00,0,0,0,-3629,1234,-1551,0.116
2026-03-13 16:59:19.008000+00:00,0,0,0,-3633,1236,-1542,0.155
2026-03-13 16:59:19.046000+00:00,0,0,0,-3636,1245,-1548,0.193
2026-03-13 16:59:19.085000+00:00,0,0,0,-3631,1246,-1551,0.232
2026-03-13 16:59:19.124000+00:00,0,0,0,-3640,1245,-1552,0.271
2026-03-13 16:59:19.162000+00:00,0,0,0,-3633,1232,-1540,0.309
2026-03-13 16:59:19.201000+00:00,0,0,0,-3630,1232,-1538,0.348
2026-03-13 16:59:19.240000+00:00,0,0,0,-3633,1242,-1555,0.387
2026-03-13 16:59:19.278000+00:00,0,0,0,-3631,1251,-1570,0.425
2026-03-13 16:59:19.317000+00:00,0,0,0,-3636,1245,-1558,0.464
2026-03-13 16:59:19.356000+00:00,0,0,0,-3637,1245,-1537,0.503
2026-03-13 16:59:19.394000+00:00,0,0,0,-3635,1241,-1526,0.541
2026-03-13 16:59:19.433000+00:00,0,0,0,-3637,1236,-1545,0.58
2026-03-13 16:59:19.472000+00:00,0,0,0,-3632,1221,-1561,0.619
2026-03-13 16:59:19.511000+00:00,0,0,0,-3631,1234,-1567,0.658
2026-03-13 16:59:19.549000+00:00,0,0,0,-3637,1236,-1551,0.696
2026-03-13 16:59:19.592000+00:00,0,0,0,-3631,1239,-1532,0.739
2026-03-13 16:59:19.627000+00:00,0,0,0,-3642,1251,-1543,0.774
2026-03-13 16:59:19.665000+00:00,0,0,0,-3627,1247,-1552,0.812
2026-03-13 16:59:19.704000+00:00,0,0,0,-3633,1255,-1557,0.851
2026-03-13 16:59:19.743000+00:00,0,0,0,-3630,1239,-1551,0.89
2026-03-13 16:59:19.782000+00:00,0,0,0,-3633,1239,-1544,0.929
2026-03-13 16:59:19.820000+00:00,0,0,0,-3636,1237,-1548,0.967
2026-03-13 16:59:19.859000+00:00,0,0,0,-3636,1235,-1551,1.006
2026-03-13 16:59:19.898000+00:00,0,0,0,-3637,1237,-1549,1.045
2026-03-13 16:59:19.936000+00:00,0,0,0,-3641,1243,-1543,1.083
2026-03-13 16:59:19.975000+00:00,0,0,0,-3634,1243,-1544,1.122
2026-03-13 16:59:20.014000+00:00,0,0,0,-3629,1238,-1547,1.161
2026-03-13 16:59:20.052000+00:00,0,0,0,-3632,1239,-1555,1.199
2026-03-13 16:59:20.091000+00:00,0,0,0,-3631,1243,-1563,1.238
2026-03-13 16:59:20.130000+00:00,0,0,0,-3636,1234,-1554,1.277
2026-03-13 16:59:20.168000+00:00,0,0,0,-3641,1236,-1547,1.315
2026-03-13 16:59:20.207000+00:00,0,0,0,-3636,1240,-1535,1.354
2026-03-13 16:59:20.246000+00:00,0,0,0,-3639,1246,-1544,1.393
2026-03-13 16:59:20.284000+00:00,0,0,0,-3628,1245,-1552,1.431
2026-03-13 16:59:20.323000+00:00,0,0,0,-3623,1249,-1555,1.47
2026-03-13 16:59:20.362000+00:00,0,0,0,-3635,1263,-1555,1.509
2026-03-13 16:59:20.401000+00:00,0,0,0,-3635,1259,-1538,1.548
2026-03-13 16:59:20.439000+00:00,0,0,0,-3634,1256,-1543,1.586
2026-03-13 16:59:20.478000+00:00,0,0,0,-3630,1241,-1552,1.625
2026-03-13 16:59:20.517000+00:00,0,0,0,-3632,1240,-1563,1.664
2026-03-13 16:59:20.555000+00:00,0,0,0,-3630,1235,-1557,1.702
2026-03-13 16:59:20.594000+00:00,0,0,0,-3631,1244,-1551,1.741
2026-03-13 16:59:20.633000+00:00,0,0,0,-3634,1250,-1550,1.78
2026-03-13 16:59:20.677000+00:00,0,0,0,-3629,1256,-1549,1.824
2026-03-13 16:59:20.710000+00:00,0,0,0,-3633,1253,-1546,1.857
2026-03-13 16:59:20.749000+00:00,0,0,0,-3630,1251,-1546,1.896
2026-03-13 16:59:20.787000+00:00,0,0,0,-3631,1242,-1553,1.934
2026-03-13 16:59:20.826000+00:00,0,0,0,-3638,1241,-1557,1.973
2026-03-13 16:59:20.865000+00:00,0,0,0,-3630,1252,-1546,2.012
2026-03-13 16:59:20.904000+00:00,0,0,0,-3622,1252,-1542,2.051
2026-03-13 16:59:20.942000+00:00,0,0,0,-3625,1259,-1562,2.089
2026-03-13 16:59:20.981000+00:00,0,0,0,-3631,1279,-1567,2.128
2026-03-13 16:59:21.020000+00:00,0,0,0,-3630,1260,-1549,2.167
2026-03-13 16:59:21.058000+00:00,0,0,0,-3638,1258,-1540,2.205
2026-03-13 16:59:21.097000+00:00,0,0,0,-3631,1249,-1537,2.244
2026-03-13 16:59:21.136000+00:00,0,0,0,-3626,1240,-1555,2.283
2026-03-13 16:59:21.174000+00:00,0,0,0,-3629,1238,-1571,2.321
2026-03-13 16:59:21.213000+00:00,0,0,0,-3628,1254,-1557,2.36
2026-03-13 16:59:21.252000+00:00,0,0,0,-3636,1268,-1535,2.399
2026-03-13 16:59:21.290000+00:00,0,0,0,-3634,1256,-1540,2.437
2026-03-13 16:59:21.329000+00:00,0,0,0,-3636,1250,-1558,2.476
