ts,user_id,device_id,source,inner,outer,time_s
2026-03-13 16:59:20.099000+00:00,0,0,0,26.5,32.90625,0.0
2026-03-13 16:59:21.099000+00:00,0,0,0,26.75,32.82422,1.0
2026-03-13 16:59:22.099000+00:00,0,0,0,26.5,32.89453,2.0
2026-03-13 16:59:23.099000+00:00,0,0,0,26.5,32.89453,3.0
2026-03-13 16:59:24.099000+00:00,0,0,0,26.75,32.933594,4.0
2026-03-13 16:59:25.099000+00:00,0,0,0,26.5,32.859375,5.0
2026-03-13 16:59:26.099000+00:00,0,0,0,26.75,32.98047,6.0
2026-03-13 16:59:27.099000+00:00,0,0,0,26.75,32.914062,7.0
2026-03-13 16:59:28.099000+00:00,0,0,0,26.5,32.9375,8.0
2026-03-13 16:59:29.099000+00:00,0,0,0,26.5,32.910156,9.0
2026-03-13 16:59:30.099000+00:00,0,0,0,26.75,32.898438,10.0
2026-03-13 16:59:31.099000+00:00,0,0,0,26.75,32.859375,11.0
2026-03-13 16:59:32.099000+00:00,0,0,0,26.75,32.933594,12.0
2026-03-13 16:59:33.099000+00:00,0,0,0,26.75,32.92578,13.0
2026-03-13 16:59:34.099000+00:00,0,0,0,26.5,32.92578,14.0
2026-03-13 16:59:35.099000+00:00,0,0,0,26.5,32.972656,15.0
2026-03-13 16:59:36.099000+00:00,0,0,0,26.75,32.921875,16.0
2026-03-13 16:59:37.099000+00:00,0,0,0,26.75,32.88672,17.0
2026-03-13 16:59:38.099000+00:00,0,0,0,26.75,33.0,18.0
2026-03-13 16:59:39.098000+00:00,0,0,0,26.75,32.976562,18.999
2026-03-13 16:59:40.098000+00:00,0,0,0,27.0,32.98047,19.999
2026-03-13 16:59:41.099000+00:00,0,0,0,26.5,32.847656,21.0
2026-03-13 16:59:42.098000+00:00,0,0,0,26.5,32.914062,21.999
2026-03-13 16:59:43.098000+00:00,0,0,0,26.75,32.94922,22.999
2026-03-13 16:59:44.098000+00:00,0,0,0,26.75,32.992188,23.999
2026-03-13 16:59:45.098000+00:00,0,0,0,26.75,32.96875,24.999
2026-03-13 16:59:46.098000+00:00,0,0,0,26.75,32.984375,25.999
2026-03-13 16:59:47.098000+00:00,0,0,0,26.75,32.910156,26.999
2026-03-13 16:59:48.098000+00:00,0,0,0,26.75,32.95703,27.999
2026-03-13 16:59:49.098000+00:00,0,0,0,26.75,32.92578,28.999
2026-03-13 16:59:50.098000+00:00,0,0,0,26.75,32.972656,29.999
2026-03-13 16:59:51.098000+00:00,0,0,0,26.75,33.0,30.999
2026-03-13 16:59:52.098000+00:00,0,0,0,27.0,33.01172,31.999
2026-03-13 16:59:53.098000+00:00,0,0,0,26.75,32.929688,32.999
2026-03-13 16:59:54.098000+00:00,0,0,0,26.75,32.91797,33.999
2026-03-13 16:59:55.098000+00:00,0,0,0,26.75,33.007812,34.999
2026-03-13 16:59:56.098000+00:00,0,0,0,26.75,32.945312,35.999
2026-03-13 16:59:57.098000+00:00,0,0,0,26.75,32.953125,36.999
2026-03-13 16:59:58.098000+00:00,0,0,0,27.0,32.95703,37.999
2026-03-13 16:59:59.098000+00:00,0,0,0,26.75,33.003906,38.999
2026-03-13 17:00:00.098000+00:00,0,0,0,26.75,32.945312,39.999
2026-03-13 17:00:01.098000+00:00,0,0,0,26.75,33.007812,40.999
2026-03-13 17:00:02.098000+00:00,0,0,0,26.75,32.96875,41.999
2026-03-13 17:00:03.098000+00:00,0,0,0,26.75,32.914062,42.999
2026-03-13 17:00:04.098000+00:00,0,0,0,26.75,32.98047,43.999
2026-03-13 17:00:05.098000+00:00,0,0,0,26.75,32.953125,44.999
2026-03-13 17:00:06.098000+00:00,0,0,0,26.75,32.992188,45.999
2026-03-13 17:00:07.098000+00:00,0,0,0,26.75,32.96875,46.999
2026-03-13 17:00:08.098000+00:00,0,0,0,26.75,32.960938,47.999
2026-03-13 17:00:09.098000+00:00,0,0,0,26.5,33.01172,48.999
2026-03-13 17:00:10.098000+00:00,0,0,0,26.75,33.035156,49.999
2026-03-13 17:00:11.098000+00:00,0,0,0,26.5,32.921875,50.999
