Participant,Channel,Hardware Channel,Mean PI,Std PI,Day,SkinTone,Speed,Depth,Experiment,Metric,Mean,Std
Dark_Intermediate_5mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Intermediate,5mm,Experiment_2,PI,1.0227380734925589,0.2089623313695645
Dark_Fast_5mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,491.63386403134535,445.0257091279188
Dark_Fast_5mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,10.35534063798704,23.4184745020482
Dark_Fast_5mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,9.995231626077851,21.669136384553504
Dark_Fast_5mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,13.948459802773142,2.6831699266873055
Dark_Fast_5mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,3.8982675183705697,0.9739409967077998
Dark_Fast_5mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,2.489087986285162,0.7752854910714964
Dark_Fast_5mm,Co-Polarized_Green,C13,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,2.9263721687451505,11.422919374171286
Dark_Fast_5mm,Co-Polarized_Red,C12,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,2.6573689287375237,7.089671970214918
Dark_Fast_5mm,Co-Polarized_IR,C15,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,0.7372121843870781,1.9214899476788587
Dark_Fast_5mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,1.6080889490154082,2.0021302314486307
Dark_Fast_5mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,1.696872573807904,1.5513183127156025
Dark_Fast_5mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Fast,5mm,Experiment_2,PI,0.7371674017064522,0.3516154207660611
Dark_Intermediate_2.5mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,590.1065496793017,2197.8858213588205
Dark_Intermediate_2.5mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,5.088464406631477,1.5209440445695597
Dark_Intermediate_2.5mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,11.876990827472785,21.71751538535258
Dark_Intermediate_2.5mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,14.29440413449439,5.682947806747511
Dark_Intermediate_2.5mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,3.861427212077983,1.1658053034223264
Dark_Intermediate_2.5mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,2.3714942905556073,0.8742878217343708
Dark_Intermediate_2.5mm,Co-Polarized_Green,C13,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,1.6125045967832203,0.6195375197620708
Dark_Intermediate_2.5mm,Co-Polarized_Red,C12,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,1.8156290514088649,0.5708415829576736
Dark_Intermediate_2.5mm,Co-Polarized_IR,C15,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,2.158378270067032,0.4021136419228779
Dark_Intermediate_2.5mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,2.679347691561526,0.5550488246227139
Dark_Intermediate_2.5mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,4.5756204395862055,0.7764726692619266
Dark_Intermediate_2.5mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,PI,4.314947984719934,0.7200722252023171
Dark_Intermediate_3.75mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,-61.48787445348096,770.8017984543914
Dark_Intermediate_3.75mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,3.6302571700455064,0.2458462391805941
Dark_Intermediate_3.75mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,4.029075238569346,3.3331873815450233
Dark_Intermediate_3.75mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,14.223710745218066,1.4257362566207603
Dark_Intermediate_3.75mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,3.4282240111503928,0.1340159948167072
Dark_Intermediate_3.75mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,2.272167735662407,0.1120531054864544
Dark_Intermediate_3.75mm,Co-Polarized_Green,C13,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,1.5365926010009143,0.5313859870154052
Dark_Intermediate_3.75mm,Co-Polarized_Red,C12,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,1.7320857541754768,0.6692647063958251
Dark_Intermediate_3.75mm,Co-Polarized_IR,C15,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,0.9257727013572108,0.2108365064616041
Dark_Intermediate_3.75mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,1.6005559370351974,0.2806973840191676
Dark_Intermediate_3.75mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,1.557408619837873,0.4528850023481711
Dark_Intermediate_3.75mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,PI,0.5173328581770561,0.103391595612091
Dark_Slow_5mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,304.3916512844137,149.81616906479636
Dark_Slow_5mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,8.316004901143012,12.470857723510315
Dark_Slow_5mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,4.1711834686613365,3.813928455618131
Dark_Slow_5mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,30.013991938660343,33.61046205250444
Dark_Slow_5mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,11.376011233019234,24.52821038248816
Dark_Slow_5mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,7.045372959745174,8.102128180617793
Dark_Slow_5mm,Co-Polarized_Green,C13,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,3.093355192756023,8.495698708931341
Dark_Slow_5mm,Co-Polarized_Red,C12,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,3.2654860636117875,7.000287639947784
Dark_Slow_5mm,Co-Polarized_IR,C15,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,0.9854368212017736,0.793479472809853
Dark_Slow_5mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,4.36993427056285,14.513204386753577
Dark_Slow_5mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,4.024390656700124,11.72491876497106
Dark_Slow_5mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Slow,5mm,Experiment_2,PI,1.4306769398832406,0.8008387853167425
Dark_Slow_3.75mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,297.37879692414606,119.29877745276929
Dark_Slow_3.75mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,4.60986007046682,0.6847542868451547
Dark_Slow_3.75mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,2.4374798032429488,0.5328394394016812
Dark_Slow_3.75mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,12.54482867927065,2.006426834447537
Dark_Slow_3.75mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,4.435786968365874,0.6632879488731813
Dark_Slow_3.75mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,2.3694887345791225,0.2994633037661546
Dark_Slow_3.75mm,Co-Polarized_Green,C13,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,1.715977653755627,0.9866456415189088
Dark_Slow_3.75mm,Co-Polarized_Red,C12,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,1.6370961095177288,0.5714965902023744
Dark_Slow_3.75mm,Co-Polarized_IR,C15,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,1.403781245755929,0.9475995090175218
Dark_Slow_3.75mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,1.446041559879178,0.5607796888229779
Dark_Slow_3.75mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,1.556292142726112,0.2511059099569435
Dark_Slow_3.75mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Slow,3.75mm,Experiment_2,PI,0.7127738838206142,0.475074828607005
Dark_Fast_2.5mm,Unpolarized_A_Green,C5,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,245.17607687207772,63.53345857207293
Dark_Fast_2.5mm,Unpolarized_A_Red,C2,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,4.84186581896219,1.2645159041358636
Dark_Fast_2.5mm,Unpolarized_A_IR,C4,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,3.2477345693256248,3.7701282000359972
Dark_Fast_2.5mm,Unpolarized_B_Green,C11,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,13.368056769927598,2.1395044849733886
Dark_Fast_2.5mm,Unpolarized_B_Red,C8,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,3.5011126120031384,0.7349774332297316
Dark_Fast_2.5mm,Unpolarized_B_IR,C10,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,2.0468776231604178,0.30817415210687976
Dark_Fast_2.5mm,Co-Polarized_Green,C13,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,1.5167897597068627,0.5123234631319655
Dark_Fast_2.5mm,Co-Polarized_Red,C12,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,3.046467415651836,8.682237371772064
Dark_Fast_2.5mm,Co-Polarized_IR,C15,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,1.5437496610144057,0.2029464312760894
Dark_Fast_2.5mm,Cross-Polarized_Green,C19,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,1.839893192292629,0.5234338182678613
Dark_Fast_2.5mm,Cross-Polarized_Red,C18,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,2.566488041369946,1.4505763554508582
Dark_Fast_2.5mm,Cross-Polarized_IR,C21,,,Day_2,Dark,Fast,2.5mm,Experiment_2,PI,2.9625655240651656,0.19945360630881462
