Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Fair_90_OgPol,Unpolarized_A_Green,C5,PI,-253.8518708321218,87.795517968997,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_A_Red,C2,PI,-264.84031864293445,222.59434899134234,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_A_IR,C4,PI,-225.23434162344466,116.58373655206184,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_Green,C11,PI,-252.137316296821,57.87078642816895,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_Red,C8,PI,-250.82704265612125,47.731226354203145,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_IR,C10,PI,-234.81349192596164,53.91134938004913,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_Green,C13,PI,-175.0551962092754,42.67919854660142,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_Red,C12,PI,-190.73998206670325,62.04421275218602,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_IR,C15,PI,-27.79397186193807,622.0321223909978,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_Green,C19,PI,-174.6041483947184,17.022421489238607,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_Red,C18,PI,-174.09269531240665,16.938414439304697,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_IR,C21,PI,-174.15167669877079,32.74961368510391,Day_4,Experiment_3,IR,Fair,90,Og. Pol
