Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Red,C2,600,1100,12.0,22.0,-6.821210263296962e-16,64.39650070054856,1.4949132673794188,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,650,1150,13.0,23.0,-3.979039320256561e-16,64.33373968543177,1.528532483393581,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,700,1200,14.0,24.0,3.410605131648481e-16,64.39565643771466,1.5603528415465528,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,750,1250,15.0,25.0,7.389644451905048e-16,64.79733734609299,1.4464690421538813,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,800,1300,16.0,26.0,-5.400124791776761e-16,64.48303099236982,1.561460386581073,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,850,1350,17.0,27.0,-1.3642420526593924e-15,62.63713061550883,0.2068322613701838,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,900,1400,18.0,28.0,-2.842170943040401e-16,14.775559324575385,0.1640206699995301,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,950,1450,19.0,29.0,-1.1368683772161603e-16,15.729720231056952,0.076446775349182,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,0,500,0.0,10.0,2.2737367544323206e-16,17.505240401398655,0.0711432699173298,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,50,550,1.0,11.0,-7.3896444519050485e-16,17.25380450935706,0.0614789469937426,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,100,600,2.0,12.0,0.0,16.643635544530795,0.1147020765550151,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,150,650,3.0,13.0,3.979039320256561e-16,16.56190818783357,0.0733840614195306,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,200,700,4.0,14.0,2.842170943040401e-17,16.14271785978802,0.0329711915999798,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,250,750,5.0,15.0,1.1368683772161603e-16,16.17117085217178,-0.0569567871283742,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,300,800,6.0,16.0,1.4210854715202004e-16,47.373774733232096,-0.1665651327125305,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,350,850,7.0,17.0,1.1368683772161605e-15,45.522736619225824,2.806346599298375,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,400,900,8.0,18.0,-6.821210263296962e-16,45.56590776743959,2.9345132501198794,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,450,950,9.0,19.0,-9.094947017729285e-16,45.31332467873422,2.996690656667502,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,500,1000,10.0,20.0,-5.115907697472721e-16,45.37735071008067,2.939618154443793,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,550,1050,11.0,21.0,2.2737367544323206e-16,45.418430401875206,2.950638833071767,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_IR,C4,600,1100,12.0,22.0,3.979039320256561e-16,45.42126539566201,3.0077853096624687,Day_4,Experiment_3,IR,Fair,90,Og. Pol
